job_title,job_company_name,job_location,job_salary,job_details,job_date,today_date
,Thanu Associates,"Bengaluru, Karnataka","₹50,000 - ₹1,50,000 a month","Feature addition and bug fixing.
Require Customer interaction in daily basis.
Ready to extended working hours.
3 to 9 years’ experience.",Today,21-07-21
Front End Engineer,Smarter Codes,"Bengaluru, Karnataka•Temporarily Remote","₹3,80,777 - ₹15,00,000 a year","Assure that all user input is validated before submitting to back-end.
Develop new user-facing features.
Build reusable code and libraries for future use.",22 days ago,21-07-21
JUNIOR WEB DEVELOPER,Harman International,"Bengaluru, Karnataka",Salary Not Mentioned,Demonstrated experience executing integration tests across multiple tiers of an application to guarantee end-to-end functionality of a solution.,18 days ago,21-07-21
Front End Engineer,Meredith Corporation,"Bengaluru, Karnataka",Salary Not Mentioned,"Translation of designer mock-ups and templates into digital content.
Opportunities to work on the frameworks and Apple News technologies.",30+ days ago,21-07-21
Front-end (Reactjs) - Internet Company - SDE1/2/3,Wise Monk,"Bengaluru, Karnataka","₹30,00,000 a year","1-10 years of professional non-internship experience with the front end, web, or mobile software development using **Reactjs**, JavaScript, HTML, and CSS3.",30+ days ago,21-07-21
,Increasingly Technologies,"Bengaluru, Karnataka•Temporarily Remote","₹2,86,828 - ₹4,50,000 a year","Proven work experience as a Javascript/Front-end developer, at least 2 years.
Full stack development with any one of the Node.js/Express.js/Sails.js, with front…",8 days ago,21-07-21
UI (Front-end) Developer,zoojoo.be,"Bengaluru, Karnataka",Salary Not Mentioned,"Your technical expertise will help us design, develop, test, deploy, and enhance our product.
You will work very closely with our UX team to ensure that our…",30+ days ago,21-07-21
Front End Developer,Josh Software Pvt Ltd,"Bengaluru, Karnataka•Temporarily Remote","₹3,76,541 - ₹16,05,902 a year",Total work: 4 years (Preferred).,30+ days ago,21-07-21
,Goldklix Business Services Pvt Ltd,"Bengaluru, Karnataka•Temporarily Remote",Salary Not Mentioned,"Experience in MySQL, PHP, HTML5 stack.
Temporarily due to COVID-19.",7 days ago,21-07-21
Front End Developer,RupeeX,"Bengaluru, Karnataka",Salary Not Mentioned,The qualified candidate is an energetic self-starter with a strong technical background in managing servers in a distributed environment.,30+ days ago,21-07-21
Front End Developer,Eurasiayan Business Concepts Private Limited,"Bengaluru, Karnataka•Temporarily Remote","₹3,00,000 - ₹5,00,000 a year","In this role, you will own solutions from design and development of different features of knowtified.
You will be responsible for holding the code quality high,…",30+ days ago,21-07-21
Front-End Developer (senior),Ectosense,"Bengaluru, Karnataka",Salary Not Mentioned,We are looking for a talented frontend developer to lead the expansion of our web-based physician portal that ties together our Bluetooth-connected medical…,30+ days ago,21-07-21
Software Enginner - Front End Developer,IQLECT,"Bengaluru, Karnataka",Salary Not Mentioned,"We are looking for 1-3 years experienced UI developer.
Excellent proficiency in HTML, CSS, JavaScript, AngularJS, react or any JS framework.",30+ days ago,21-07-21
,InnoGenX,"Bengaluru, Karnataka","₹12,000 - ₹35,000 a month","Designing and building the website front-end.
Knowledge of front-end technologies including CSS3, JavaScript, HTML5, and jQuery.
Job Types: Full-time, Walk-In.",6 days ago,21-07-21
,ADCI - Karnataka,"Bengaluru, Karnataka",Salary Not Mentioned,"Experience in solving technical problems and designing solutions for front-end and back-end development.
2+ years of professional non-internship experience with…",Today,21-07-21
Front-end Developer,AssetCorp Technologies,"Bengaluru, Karnataka",Salary Not Mentioned,"Help back-end developers with coding and troubleshooting.
Collaborate with back-end developers and web designers to improve usability.",30+ days ago,21-07-21
,Futures and Careers,"Bengaluru, Karnataka",Salary Not Mentioned,"Building next generation applications or products require collaboration with exceptional group of highly skilled product owners, data architects, software…",4 days ago,21-07-21
PTC Thingworx Developer,Embedsense Solutions Private Limited,"Hebbal, Bengaluru, Karnataka",Salary Not Mentioned,"Hands-on experience on front end development using Thingworx for 2+ years.
Develop front end application code, Debug, Perform Code Review, Code Optimization,…",30+ days ago,21-07-21
UI Developer (1-3 Yrs),CommerceIQ,"Bengaluru, Karnataka•Temporarily Remote","₹10,00,000 - ₹15,00,000 a year","Work closely with the Product Managers, Designers and Backend developers to implement versatile front-end solutions.
Front-end development: 2 years (Required).",15 days ago,21-07-21
